participant,similarity,session1_masked_compatible,session1_masked_incompatible,session1_unmasked_compatible,session1_unmasked_incompatible,session2_masked_compatible,session2_masked_incompatible,session2_unmasked_compatible,session2_masked_incompatible
T10,different,375.1449275,337.1351351,299.2658228,356.7307692,315.7941176,280.1298701,254.6708861,306.8571429
T100,different,532.9850746,483.2179487,382.3506494,522.5538462,448.115942,409.6883117,375.8947368,453.84375
T102,different,408.6621622,356.1625,340.4078947,444.9868421,407.3076923,362.5375,352.1558442,436.4
T110,different,378.1025641,365.4375,334.9625,359.6973684,437.630137,409.8987342,355.5189873,404.2105263
T115,different,429.3380282,405.6216216,381.7875,493.0714286,479.5641026,448.7179487,390.5769231,507.2957746
T121,different,466.4324324,434.1558442,384.9487179,480.6769231,498.9078947,467.25,386.6923077,476.0588235
T122,different,464.5263158,455.025974,406.25,507.0285714,458.88,432.3589744,415.9367089,475.1447368
T123,different,379.5064935,357.0657895,356.1898734,358.1973684,418.0273973,351.2,344.7088608,390.1052632
T128,different,375.0958904,357.7341772,356.1842105,458.1857143,409.8219178,405.1506849,361.0125,452.0422535
T132,different,454.6025641,454.6216216,398.0897436,436.88,378.08,358.974359,353.425,408.2054795
T135,different,538.7894737,478.75,419.25,600.6521739,574.641791,493.1285714,418.0675676,576.8730159
T143,different,403.2025316,412.0506329,355.7948718,419.3670886,415.835443,399.9873418,321.6625,433.4487179
T149,different,462.4875,449.2405063,424.85,469.6315789,452.9102564,448.4545455,419.9620253,540.1973684
T152,different,382.1621622,360.9493671,338.0875,408.9487179,389.2894737,361.9620253,335.7468354,420.7088608
T153,different,413.3506494,391.7625,361.8,451.5352113,417.6081081,397.974026,386.5405405,454.4155844
T159,different,447.0632911,409.2625,376.2531646,456.3846154,340.2435897,327.4078947,300.525,356.6666667
T162,different,510.6857143,410.7662338,431.6282051,477.5645161,387.3676471,350.8974359,321.8648649,387.1272727
T169,different,413.8441558,399.6233766,437.0909091,488.1267606,417.1315789,397.474359,435.5657895,455.6164384
T171,different,428.9493671,407.1125,352.1139241,416.7763158,462.0253165,458.9113924,382.8375,477.1298701
T179,different,416.6623377,400.3866667,350.0632911,438.9605263,440.3783784,369.5949367,348.125,463.1232877
T181,different,461.1625,429.3333333,392.625,501.2272727,426.4266667,411.925,333,484.5901639
T186,different,385.9493671,363.1948052,325.1392405,413.8108108,384.8552632,376.56,330.1538462,399.5512821
T187,different,479.1558442,457.3797468,371.6582278,507.9487179,429.7307692,400.6202532,402.725,433.2266667
T189,different,429.6794872,431.2571429,392.8125,415.7123288,418.6527778,399.7763158,360.6478873,397.2769231
T192,different,519.5063291,474.35,402.9367089,489.8,483.9027778,440.84,343.96,445.1884058
T196,different,597.2658228,578.6923077,405.2531646,474.4556962,524.8375,517.8734177,455.6794872,510.6455696
T198,different,450.9864865,420.2987013,346.8846154,428.9594595,400.1410256,362.5822785,308.275,391.6029412
T202,different,473.7123288,445.1772152,384.6025641,472.9444444,429.6075949,411.8589744,338.85,407.2702703
T203,different,472.025974,463.0384615,442.9230769,508.0441176,408.369863,383.8311688,366.4675325,440.2285714
T204,different,438.5696203,460.8333333,405.278481,517.6184211,456,454.3246753,416.4473684,501.0657895
T205,different,388.5714286,369.4871795,354.5316456,402.1973684,395.1578947,352.835443,350.7375,415.3648649
T209,different,437.8676471,379.8589744,399.6133333,485.1506849,423.7948718,439.75,358.2948718,406.6842105
T21,different,408.3243243,399.25,387.1518987,476.4415584,464.4533333,416.1973684,388.5696203,466.6438356
T215,different,450.6075949,420.3544304,390.9230769,470.2,465.2179487,464.1298701,420.2625,507.3625
T222,different,433.2753623,372.3157895,355.4675325,423.0428571,431.2714286,406.7066667,363.0512821,464.9565217
T225,different,547.390625,510.8243243,402.3918919,492.7761194,436.7631579,388.8701299,353.7594937,425.0422535
T23,different,455.369863,439.6621622,385.7916667,440.9466667,435.2027027,408.6184211,355.5066667,425.1304348
T231,different,439.1232877,396.225,337.325,445.6666667,418.2727273,411.974359,345,458.7719298
T233,different,428.0735294,424.5890411,342.4736842,427.5666667,513.5147059,533.0666667,517.5512821,550.7833333
T234,different,367.3846154,365.525641,338.5443038,413.3026316,403.2105263,406.5949367,344.425,415.16
T239,different,346.3037975,312.3205128,312.075,346.8115942,382.9315068,341.8375,318.675,373.1866667
T244,different,379.4929577,357.164557,353.0909091,409.5211268,366.4868421,377.4054054,345.2911392,424.4057971
T247,different,365.2207792,334.278481,343.4810127,391.6710526,394.6794872,387.75,332.5,402.5
T252,different,418.725,411.8205128,411.625,528.2875,431.4050633,418.974359,369.7594937,485.4025974
T253,different,459.7875,473.8205128,417.25,522.8076923,448.1012658,445.443038,369.4,481.6973684
T26,different,481.04,407.9367089,398.7662338,490.925,418.4487179,407.7792208,301.1410256,434.5915493
T262,different,380.3974359,384.9620253,336.9102564,376.5921053,377.325,385.7402597,359.1038961,423.5714286
T263,different,494.3766234,479.2435897,455.1875,515.6753247,462.5512821,452.375,408.025974,497.6753247
T266,different,367.8082192,355.5822785,333.0519481,434.2638889,395.5,356.0126582,296.4683544,419.5074627
T267,different,475.4810127,440.5,393.8125,581.7424242,428.2405063,400.6625,341.2435897,459.3076923
T270,different,393.4657534,375.3188406,351.5,423.3939394,341.4473684,320.6351351,300.5540541,368.8055556
T273,different,385.1298701,350.8375,339.6025641,423.5915493,377.6,348.8625,312.7435897,385.2467532
T308,different,400.2077922,391.0789474,282.5822785,392.4057971,410.4444444,385.9090909,318.2597403,408.1746032
T309,different,429.9230769,397.95,405.4,448.9102564,488.6216216,442.8987342,420.8625,493.9736842
T32,different,474.3506494,468.5822785,448.2435897,518.556962,450.6052632,440.6329114,399.1875,477.2658228
T321,different,388.1898734,372.825,351.4,398.3417722,440.4683544,418.5949367,375.9240506,428.9871795
T327,different,366.5394737,350.0379747,315.9367089,440.1643836,406.5384615,346.1139241,316.6708861,428.7205882
T338,different,456.027027,423.0384615,426.2820513,468.2428571,424.3116883,430.2702703,378.8378378,461.483871
T34,different,557.5128205,517.9625,448.6455696,546.3333333,456.0136986,440.9722222,427.0886076,506.2352941
T343,different,383.1428571,363.5131579,312.2179487,434.2205882,381.75,337.8125,289.7625,403.8970588
T37,different,426.8571429,433.6708861,362.9625,447.9473684,405.025974,400.961039,338.0759494,428.7532468
T380,different,349.8701299,354.075,331.443038,353.7341772,402.1392405,400.5866667,372.8101266,426.8375
T39,different,340.4857143,338.9428571,314.1666667,427.2676056,406.1466667,369.6363636,308.525,403.9830508
T390,different,398.2666667,350.6875,336.1392405,452.0266667,425.6891892,378.3797468,311.3625,464.6197183
T391,different,356.7948718,332.925,330.8181818,378.6410256,313.7948718,307.3421053,301.5844156,348.2597403
T42,different,415.6712329,383.0921053,363,469.640625,431.3823529,412.2162162,393.3552632,566.3548387
T48,different,460.2465753,448.9873418,425.6875,503.7428571,415.8648649,396.5,385.7368421,454.4324324
T53,different,379.6527778,362.2077922,334.7375,410.3783784,350.6956522,317.5064935,257.7692308,345.8448276
T61,different,337.8611111,310.556962,259.7402597,329.7076923,362.3823529,321.7307692,269.3670886,332.0983607
T64,different,414.0985915,361.5135135,372.6708861,457.0645161,457.3066667,435.5454545,411.1282051,505.6129032
T65,different,537.7662338,518.9866667,398.6666667,507.6714286,417.2278481,413.4556962,388.556962,448.72
T7,different,381.7564103,384.2051282,364.3461538,397.8513514,340.3783784,325.7051282,324.3108108,348.6805556
T73,different,379.9324324,375.1688312,370.5571429,408.8,424.2465753,394.5810811,359.0833333,391.0144928
T75,different,729.4605263,724.0897436,590.5762712,666.2142857,530.5128205,555.3589744,578.5189873,587.1012658
T80,different,407.8550725,347.7272727,381.4875,425.1666667,353.6212121,335.5405405,320.725,348.3076923
T84,different,435.1232877,420.0921053,359.4805195,430.0454545,419.25,391.3714286,342.1282051,434.9137931
T86,different,377.1,375.4857143,397.1466667,411.4714286,415.3835616,387.12,380.1971831,443.12
T88,different,491.8607595,486.8375,421.1392405,507.2876712,446.5512821,424.1923077,407.4,496.3421053
T91,different,335.9866667,297.2820513,306.2151899,340.8571429,374.3380282,330.4025974,296.8481013,346.5263158
T92,different,470.9220779,424.1125,398.2375,527.8571429,459.025,423.4805195,345.2025316,474.5810811
T1,same,416.0566038,333.2025316,335.375,400.3623188,394.7959184,323.5194805,311.8157895,386.5636364
T101,same,370.96,401.2142857,354.472973,439.1917808,393.8533333,389.472973,354.8589744,411.3239437
T104,same,351.125,315.3636364,302.2025316,344.5211268,356.4929577,298.8311688,292.8987342,343.0263158
T106,same,387.987013,369.5443038,309.1375,372.6923077,357.6794872,356.8701299,286.1875,361.7402597
T108,same,491.5063291,487.75,438.3875,531.474359,512.6125,494.7307692,438.0897436,497.2151899
T11,same,408,401.8607595,362.5125,458.8,431.8441558,396.7692308,365.5375,454.027027
T113,same,354.6901408,322.974026,316.8846154,369.0789474,362.0526316,325.8181818,299.5066667,327.9577465
T114,same,405.8571429,387.3506494,347.8375,437.6266667,405.5769231,395.0779221,356.8082192,446.7285714
T129,same,369.4084507,340.0649351,322.4,409.7903226,343.875,308.8815789,279.9620253,372.8181818
T130,same,386.5526316,376.7307692,318.6375,398.0675676,376.04,360.8481013,331.7341772,396.173913
T139,same,341.6266667,332.6410256,313.4487179,387.9545455,339.5526316,324.0526316,304.1875,384.030303
T142,same,368.4358974,348.8375,321.9746835,406.7051282,366.9866667,356.1688312,306.4125,402.9333333
T145,same,468.3333333,430.4683544,371.2658228,492.2837838,437.1666667,379.2531646,376.2692308,486.7307692
T148,same,316.369863,285.9358974,307.6216216,299.0540541,355.1466667,331.0384615,329.5526316,346.7361111
T15,same,437.8714286,420.4242424,373.9493671,462.7042254,458.1369863,461.48,372.3589744,460.8088235
T150,same,496.2631579,399.4810127,355.075,460.4210526,484.1486486,403.8375,338.4810127,425.7702703
T155,same,400.5696203,394.1923077,376.225,433.3461538,410.1038961,401.5822785,357.5125,430.2368421
T157,same,431.05,423.6493506,408.5822785,454.6944444,426.1756757,395.0547945,409.7179487,443.5492958
T158,same,450.9625,428.5875,392.1898734,420.2625,459.6582278,446.8987342,383.5316456,444.6708861
T160,same,798.4675325,445.721519,875.6216216,645.9402985,461.1884058,415.1216216,387.2077922,502.7903226
T164,same,470.164557,445.5316456,406.012987,463.1558442,421.6760563,415.7012987,364.0533333,427.5657895
