participant,similarity,session1_nonrepeatHF,session1_nonrepeatLF,session1_repeatHF,session1_repeatLF,session2_nonrepeatHF,session2_nonrepeatLF,session2_repeatHF,session2_repeatLF
T106,different,434.3333333,506.9,429.1666667,489.1363636,432.4782609,527.1052632,420.3333333,476.6363636
T107,different,521.0434783,580.1363636,494.25,535.4090909,543.3043478,583.7727273,558.4166667,585.5909091
T108,different,688.1363636,776.2142857,651.8333333,773.6842105,501.7391304,635.6875,513.9565217,650.2222222
T120,different,488.2083333,604.4210526,437.5652174,593.8,511.173913,747.45,467.4166667,594
T121,different,474.0416667,575.1428571,452,495.4166667,451,524,447.625,483.875
T123,different,413.9090909,508.6842105,426.826087,477.2173913,427,532.7368421,412.9583333,471.7727273
T124,different,457.2083333,609.0625,482.173913,541.2083333,476.7916667,587.1428571,459.25,538.2916667
T13,different,486.2083333,663.5909091,489.9166667,574.0416667,462.5,556.6315789,462.8333333,507.3333333
T130,different,485.4090909,608,522.625,549.6842105,520.7083333,676.4705882,513.8333333,590.5263158
T135,different,545.8695652,612.6111111,551.4347826,612.75,605.5217391,631.9444444,542.0416667,626.9
T136,different,472.5833333,564.3,439.8095238,496.8,443.1904762,527.8,450.3043478,520.0555556
T140,different,487.5833333,585.4,491.625,526.3043478,442.5454545,567.0588235,442.9166667,523.5714286
T141,different,572,590.7,511.5416667,638.9047619,515.1304348,523.3809524,503.7916667,507.45
T142,different,489.7391304,587.25,482.2916667,561.15,583.4545455,633.3571429,531.6363636,574.8888889
T148,different,514.75,714.5294118,539.5,589.6,462.9545455,567.35,486.7083333,526.3333333
T151,different,508.3913043,644.625,522.8333333,660.6315789,581.625,826.1538462,569.4166667,743
T154,different,502.75,610.8421053,499.7916667,562.1666667,513.2916667,589.2105263,497.4166667,562.3333333
T155,different,612.4782609,764.8333333,606.7916667,715.4347826,554.7916667,694.3684211,547.5,632.6818182
T159,different,661.2173913,786.1666667,618.4166667,727.0454545,575.7916667,683.8,571.3043478,641.8636364
T162,different,450.875,558.0666667,443.6521739,536.3333333,442.826087,606.6666667,455.4583333,542.4
T163,different,485.4166667,639.2272727,490.4166667,625.2727273,521.2083333,648.0454545,507.375,591.952381
T167,different,524.3333333,628.6818182,564.2083333,589.8333333,545.6666667,642.3529412,530.6086957,602.6086957
T17,different,411.2083333,446.0909091,416.2916667,497.6,442.7391304,491.0588235,443.2916667,520.95
T177,different,623.2916667,721.7826087,622.2916667,657.2173913,587.0434783,701.4,620.7083333,652.5416667
T178,different,492.9583333,637.2222222,533.2083333,576.6666667,560.4583333,640.2,522.7391304,597.0454545
T18,different,548,660.6470588,535.0416667,686.0434783,512.3043478,606.0588235,543,647.1904762
T182,different,568.375,730.8888889,552.6666667,666.1904762,472.375,599.625,455.875,580.5
T186,different,527.4166667,598.5294118,478.5416667,530.2272727,495,575.45,481.3913043,556.7826087
T191,different,603.1304348,732.8,568,622.7894737,555.625,662.7894737,528,665.4782609
T210,different,430.3043478,507.2352941,440.6666667,510.2777778,461.4583333,488.75,433.5833333,499.7826087
T212,different,486.2916667,580.7,469.2916667,535.6086957,491.625,603.1904762,472.4347826,541.0833333
T213,different,508.0869565,590.5555556,477.75,539.5,488.4166667,591.6666667,482.4166667,541.2608696
T216,different,435.2916667,563.8095238,415.1304348,525.4,476.9583333,609.4117647,511.2173913,600.2105263
T217,different,496.0869565,635.5,519.5,567,479.5652174,628.3181818,486.3478261,566.9444444
T219,different,578.4583333,695,523.375,648.3043478,528.625,703.15,497.5,625.2380952
T223,different,445.6956522,442.7333333,411.4285714,465.4444444,433.2173913,504.4375,411.1666667,480.3684211
T225,different,609.3913043,742.1,614.25,739,630.173913,728.9166667,601.1666667,702.9545455
T229,different,500.7826087,620.3333333,485.5833333,580.6363636,541.9090909,680.2222222,509.2083333,631.625
T232,different,470.173913,553.8888889,500.8,503.8421053,488.0434783,586.2142857,496.8181818,524.4210526
T234,different,442.5,593.9545455,447.6666667,485.7727273,504.3913043,591.5333333,468.5,550.4444444
