participant,similarity,session1_match,session1_nonmatch,session2_match,session2_nonmatch
T184,different,924.2857143,982.5,753.5714286,654
T185,different,945.4285714,812,703.8,600.3333333
T186,different,1585.307692,1097.333333,936.2142857,947.7333333
T187,different,624.8571429,622.8,623,621.2142857
T188,different,591.2,519.4615385,733.8571429,832.7142857
T189,different,1541.5,1717.666667,881.4,1425.230769
T190,different,538.6,567,503.3076923,560
T191,different,458.6428571,427,470.1333333,492.5
T192,different,754,806.1428571,636.3333333,757.6
T193,different,1229.785714,1350.461538,859.7142857,1048.933333
T194,different,1142.066667,1400.266667,1295.8,1461.714286
T195,different,883.1333333,931.6153846,587.8,649.9285714
T196,different,448.0769231,442.8666667,529.9333333,504.5833333
T197,different,1162.714286,1147.714286,1130.866667,1210.75
T198,different,1212.666667,1356,982.9333333,1149.142857
T203,different,766.7333333,753.4285714,584.2666667,554.7142857
T218,different,1203.615385,1225.333333,1184.133333,1203.5
T219,different,937.9333333,928.2307692,767.2142857,732.8
T220,different,951.5333333,1014.461538,981.7142857,1042.6
T221,different,1312.733333,1559.923077,1169.466667,1756.142857
T222,different,679.5384615,636.8,565.0666667,490.3846154
T223,different,1181.214286,1258.928571,949,1051.642857
T224,different,737.6,727.6,731.7857143,719.6428571
T225,different,813.5333333,787.4,760.6428571,660.0714286
T226,different,1066.6,1050.923077,916.1428571,1095.384615
T227,different,553.6666667,574.5384615,430.8,479.9230769
T228,different,925.2666667,917.0714286,630.1333333,830.3571429
T229,different,1215.266667,1450.071429,1058.2,1269.714286
T230,different,1275.142857,1087.533333,831.7857143,774.2666667
T231,different,562.4666667,536.2857143,465.5384615,737.7857143
T232,different,829.9333333,838.3333333,613.8571429,745.0666667
T237,different,751.4285714,757.4,601.8,704.8
T238,different,1736.142857,1811.5,1053.071429,1132.461538
T239,different,911.8461538,825,692.8,750.7857143
T250,different,974.8571429,961,701.7333333,669.2857143
T251,different,1075.538462,1131.769231,1008.333333,1213.214286
T252,different,714,653.5714286,647.9333333,709.6153846
T253,different,567,695.8,422.0714286,481.2142857
T254,different,754.5333333,731.4285714,645.6428571,670.4
T255,different,1062.857143,1183.333333,744.0714286,826.8666667
T256,different,715.4,840.9230769,528.7142857,610.7857143
T257,different,693.8666667,733.8571429,519,725.2666667
T258,different,1455.466667,1857,1076.533333,1292.384615
T261,different,532,522.8333333,578.0714286,479.1428571
T262,different,948.6,788.2666667,699.0769231,750.2142857
T263,different,1292,999.75,540,646.6363636
T265,different,509.2666667,519.0714286,509.8666667,528.8571429
T266,different,927.1538462,873.2,652.6,586
T319,different,724.6428571,701.1428571,518.1428571,690.8666667
T320,different,640.4285714,644,659.8,671.7692308
T318,different,724.3076923,743.7142857,572.2,466.8571429
T284,different,1066.266667,1118.083333,775.7333333,760.2857143
T285,different,648.6428571,767.6428571,644.9230769,658.5333333
T290,different,1176.266667,1062.4,903.8,989.4
T289,different,1034.4,967.4,647.8571429,604.5333333
T288,different,664.5,586.2142857,444.3571429,528.2142857
T287,different,831.0769231,1142.266667,508.2857143,548.7333333
T286,different,792.2857143,818.8,782.2857143,691.9285714
T309,different,762.8666667,751.2857143,712.2666667,691.5
T310,different,1012.214286,1134.866667,682,934.2
T291,different,807.5714286,891.5,758.1428571,880.8666667
T302,different,618.6,707.6666667,686.4666667,765.4285714
T293,different,662.7333333,937.7272727,443.2,514.3333333
T292,different,1279.714286,1580.466667,965.5384615,917.7692308
T311,different,539.3571429,805.7142857,521.6666667,680.0666667
T294,different,550.3571429,530.4,441.4285714,500.2666667
T303,different,1119.769231,1423,674.8571429,791.6923077
T316,different,859.8571429,771.4666667,660.5333333,623.2857143
T317,different,853.8,880.1538462,825.9285714,1032.357143
T312,different,1219.466667,1104.785714,781.5,835.1428571
T295,different,790.1333333,739.0714286,645,710.2142857
T296,different,910.4285714,678.7692308,582.3333333,801.7333333
T313,different,759.7333333,703.7142857,608.6923077,678.3571429
T298,different,719.5,778.6,624.7857143,694.7692308
T297,different,623.4666667,621.6666667,535.0666667,571.8571429
T299,different,977,936.0666667,705.1538462,866.0714286
T301,different,947.3333333,953,872.4666667,1145.538462
T304,different,1118.466667,1409.066667,1039.642857,1256.714286
T300,different,805.5333333,905.4615385,684,883
T314,different,928.8666667,1066.769231,929.8571429,1220.714286
T100,same,767.5714286,713.8571429,468.6666667,504.7333333
T101,same,475.3333333,629,423.8666667,442.6
T102,same,679.3571429,741,516.9333333,525.2
T103,same,770.1428571,712.8571429,591.2,583.6
T104,same,739.2142857,747.5,494,465
T105,same,1001.866667,975.9166667,754.0714286,748.8571429
T106,same,670.7333333,801.2,493.2666667,585.0666667
T107,same,459.0666667,680,405.6,469.7333333
T108,same,772.8,949.6428571,783.1333333,675.4666667
T110,same,726.0666667,1074.75,740.9333333,765.4615385
T25,same,734,832.1333333,507.7333333,613.7142857
T26,same,895.4285714,879.3333333,861.9285714,933.0769231
T27,same,669.1538462,663.4666667,611.0714286,582.0666667
T28,same,604.2,589.1428571,370.6666667,396.1428571
T29,same,582.6,719.0714286,453.8,534.6666667
T30,same,1305.357143,1209.214286,1678.8,1892.285714
T31,same,642,716.7,528.6153846,589.7692308
T32,same,683.9285714,624.7272727,597.8571429,672
T33,same,703.9285714,604.2727273,541.6,608.9333333
T34,same,834.1333333,623.8888889,541.5333333,483.6
T35,same,558.8461538,555.8666667,601,553.7857143
T36,same,923.6428571,899.6666667,614.6,630.7142857
T37,same,850.7142857,831.2666667,610.0666667,559.0666667
T38,same,657.9285714,655.9333333,502.6,510.8666667
T39,same,569.2,594.6,450.9333333,450
T40,same,1111.071429,948.7333333,594.2857143,546.0666667
T41,same,612.1428571,756.2142857,682.6666667,776.7142857
T42,same,665.9333333,671.2142857,437.5333333,465.7142857
T43,same,1006.8,992.1428571,1137.666667,1289.8
T44,same,1092.857143,1104.818182,799.3333333,707.2
T45,same,714.6666667,753.7857143,560.1333333,630.3571429
T46,same,680.3571429,723.3571429,500.7333333,512.3571429
T47,same,659.6,808.5,672.9285714,593.3571429
T48,same,1000.461538,1241.266667,895.8666667,891.4666667
T51,same,392.0833333,450.1428571,412.1666667,387.3571429
T64,same,917.4285714,852.7142857,614.4666667,705
T65,same,710.9333333,745.4666667,523.7333333,493.2142857
T66,same,854.6153846,758.7333333,614.5714286,595.6
T67,same,628.7692308,653.8,550.7142857,503.4285714
T68,same,671.1333333,650.5384615,600.8666667,579.6153846
T69,same,564.4,666.9285714,483.4,538.2666667
T70,same,658.7142857,674.1428571,414.8666667,537.3333333
T71,same,586.2,651.6428571,558.5333333,567.2666667
T72,same,989.7333333,1088.8,700.5,762.4
T76,same,857.2666667,1167.066667,552,685.7142857
T77,same,863.2666667,790.7333333,522.5333333,511.8571429
T81,same,1478.142857,1678.428571,1158.733333,1173.714286
T82,same,1138.733333,1193.6,975.8666667,1015.666667
T83,same,512.3571429,658.4285714,519.3333333,567.5714286
T84,same,979,1207.533333,672.1333333,660.2857143
T96,same,662.2857143,727.5333333,750.2857143,769.7857143
T97,same,612.0666667,695.0666667,486.7333333,521.9333333
T98,same,991.7692308,1284.538462,822,800.6
T99,same,708.9230769,898.4666667,509.0714286,515
T160,same,1046.8,980.5333333,560.8571429,634.2666667
T128,same,481.6153846,612.2,305.3333333,367.5
T130,same,576.6666667,574.0666667,553,571.0666667
T129,same,1509.066667,1682.4,769,732.4666667
T132,same,1135.538462,1055.615385,822,1084.214286
T131,same,827.4285714,765.9285714,378,445.7333333
T153,same,2212.25,1870.928571,1693.357143,1398.928571
T133,same,1191.466667,1476.461538,1005.307692,1047.384615
T134,same,1023.166667,1170.272727,531.5333333,554.6428571
T154,same,495,547.5384615,436.9333333,493.5
T136,same,914.8666667,1134.333333,636.2666667,696.5714286
T146,same,1131.866667,1496.583333,963,965.1333333
T135,same,714.4,741.6923077,493.4666667,567.6666667
T138,same,938.2666667,852.8333333,634.4666667,695.5333333
T137,same,1484,2207.785714,1193.066667,1342.466667
T155,same,1512.8,1330.214286,1253.466667,1218.5
T139,same,1019.5,893.6363636,534.5833333,374.0909091
T140,same,462.8,490.2,436.5333333,435.5714286
T156,same,1178.6,1307.307692,950.3333333,1060.8
T142,same,976.6,774.4666667,823.4666667,709.6428571
T141,same,1321.066667,1428.785714,725.2666667,919
T157,same,1547.857143,1571.538462,1067.266667,1241.285714
T159,same,1922.333333,1476.538462,794,751.3333333
T143,same,899.1538462,988.4,652.3333333,653.0666667
T144,same,1158.8,1194.071429,648.7142857,615.4285714
T145,same,578.4,823.1428571,422.6,508.4
