"exclusion","num_people","num_trials","order","row_number"
"final",160,14720,1,1
"participant_external",155,14260,1,2
"final",155,14260,2,2
"participant_outlier_fixed",160,14720,1,3
"final",160,14720,2,3
"participant_outlier_data",157,14444,1,4
"final",157,14444,2,4
"trial_external",160,14278,1,5
"final",160,14278,2,5
"trial_outlier_fixed",160,14652,1,6
"final",160,14652,2,6
"trial_outlier_data",160,14333,1,7
"final",160,14333,2,7
"stimuli_external",160,14278,1,8
"final",160,14278,2,8
"stimuli_outlier_fixed",160,14720,1,9
"final",160,14720,2,9
"stimuli_outlier_data",160,14720,1,10
"final",160,14720,2,10
"participant_outlier_fixed",160,14720,1,11
"participant_external",155,14260,2,11
"final",155,14260,3,11
"participant_outlier_data",157,14444,1,12
"participant_external",152,13984,2,12
"final",152,13984,3,12
"trial_external",160,14278,1,13
"participant_external",155,13832,2,13
"final",155,13832,3,13
"trial_outlier_fixed",160,14652,1,14
"participant_external",155,14208,2,14
"final",155,14208,3,14
"trial_outlier_data",160,14333,1,15
"participant_external",155,13881,2,15
"final",155,13881,3,15
"stimuli_external",160,14278,1,16
"participant_external",155,13830,2,16
"final",155,13830,3,16
"stimuli_outlier_fixed",160,14720,1,17
"participant_external",155,14260,2,17
"final",155,14260,3,17
"stimuli_outlier_data",160,14720,1,18
"participant_external",155,14260,2,18
"final",155,14260,3,18
"participant_external",155,14260,1,19
"participant_outlier_fixed",155,14260,2,19
"final",155,14260,3,19
"participant_outlier_data",157,14444,1,20
"participant_outlier_fixed",157,14444,2,20
"final",157,14444,3,20
"trial_external",160,14278,1,21
"participant_outlier_fixed",160,14278,2,21
"final",160,14278,3,21
"trial_outlier_fixed",160,14652,1,22
"participant_outlier_fixed",159,14573,2,22
"final",159,14573,3,22
"trial_outlier_data",160,14333,1,23
"participant_outlier_fixed",155,13967,2,23
"final",155,13967,3,23
"stimuli_external",160,14278,1,24
"participant_outlier_fixed",160,14278,2,24
"final",160,14278,3,24
"stimuli_outlier_fixed",160,14720,1,25
"participant_outlier_fixed",160,14720,2,25
"final",160,14720,3,25
"stimuli_outlier_data",160,14720,1,26
"participant_outlier_fixed",160,14720,2,26
"final",160,14720,3,26
"participant_external",155,14260,1,27
"participant_outlier_data",152,13984,2,27
"final",152,13984,3,27
"participant_outlier_fixed",160,14720,1,28
"participant_outlier_data",157,14444,2,28
"final",157,14444,3,28
"trial_external",160,14278,1,29
"participant_outlier_data",157,14008,2,29
"final",157,14008,3,29
"trial_outlier_fixed",160,14652,1,30
"participant_outlier_data",157,14379,2,30
"final",157,14379,3,30
"trial_outlier_data",160,14333,1,31
"participant_outlier_data",157,14087,2,31
"final",157,14087,3,31
"stimuli_external",160,14278,1,32
"participant_outlier_data",157,14010,2,32
"final",157,14010,3,32
"stimuli_outlier_fixed",160,14720,1,33
"participant_outlier_data",157,14444,2,33
"final",157,14444,3,33
"stimuli_outlier_data",160,14720,1,34
"participant_outlier_data",157,14444,2,34
"final",157,14444,3,34
"participant_external",155,14260,1,35
"trial_external",155,13832,2,35
"final",155,13832,3,35
"participant_outlier_fixed",160,14720,1,36
"trial_external",160,14278,2,36
"final",160,14278,3,36
"participant_outlier_data",157,14444,1,37
"trial_external",157,14010,2,37
"final",157,14010,3,37
"trial_outlier_fixed",160,14652,1,38
"trial_external",160,14212,2,38
"final",160,14212,3,38
"trial_outlier_data",160,14333,1,39
"trial_external",160,13903,2,39
"final",160,13903,3,39
"stimuli_external",160,14278,1,40
"trial_external",160,13849,2,40
"final",160,13849,3,40
"stimuli_outlier_fixed",160,14720,1,41
"trial_external",160,14278,2,41
"final",160,14278,3,41
"stimuli_outlier_data",160,14720,1,42
"trial_external",160,14278,2,42
"final",160,14278,3,42
"participant_external",155,14260,1,43
"trial_outlier_fixed",155,14196,2,43
"final",155,14196,3,43
"participant_outlier_fixed",160,14720,1,44
"trial_outlier_fixed",160,14652,2,44
"final",160,14652,3,44
"participant_outlier_data",157,14444,1,45
"trial_outlier_fixed",157,14379,2,45
"final",157,14379,3,45
"trial_external",160,14278,1,46
"trial_outlier_fixed",160,14214,2,46
"final",160,14214,3,46
"trial_outlier_data",160,14333,1,47
"trial_outlier_fixed",160,14265,2,47
"final",160,14265,3,47
"stimuli_external",160,14278,1,48
"trial_outlier_fixed",160,14212,2,48
"final",160,14212,3,48
"stimuli_outlier_fixed",160,14720,1,49
"trial_outlier_fixed",160,14652,2,49
"final",160,14652,3,49
"stimuli_outlier_data",160,14720,1,50
"trial_outlier_fixed",160,14652,2,50
"final",160,14652,3,50
"participant_external",155,14260,1,51
"trial_outlier_data",155,13869,2,51
"final",155,13869,3,51
"participant_outlier_fixed",160,14720,1,52
"trial_outlier_data",160,14333,2,52
"final",160,14333,3,52
"participant_outlier_data",157,14444,1,53
"trial_outlier_data",157,14054,2,53
"final",157,14054,3,53
"trial_external",160,14278,1,54
"trial_outlier_data",160,13900,2,54
"final",160,13900,3,54
"trial_outlier_fixed",160,14652,1,55
