ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
1	"Craft, J. L., & Simon, J. R. (1970). Processing 
 symbolic information from a visual display: interference
 from an irrelevant directional cue. Journal of 
 experimental psychology, 83(3p1), 415."	"Processing symbolic 
 information from a 
 visual display: 
 interference from 
 an irrelevant 
 directional cue."	1970	"Craft, J. L., &
 Simon, J. R."	10.1037/h002884	Two blocks of trials (8 practice trials and 56 test trials per block). Experiment 1: In one block, the command (red or green light) was presented monocularly, in the other it was presented binocularly. The Ss saw either a red or a green light. Experiment 2: The Ss saw either a red or a green light in the center of their visual field. They pushed the correct response button as fast as they could, half of the Ss were told that a red light signaled a right response and a green light signaled a left response, while the other half were given the opposite color-response association, same color-response associations on both blocks	Nothing reported	1			HL		1			EB		1	
2	"Davidson, M. C., Amso, D., Anderson, L. C., & Diamond, A. (2006). 
 Development of cognitive control and executive functions from 4 to 13 years: Evidence from manipulations of memory, inhibition, and task switching. Neuropsychologia, 44(11), 2037-2078."	"Development of cognitive control 
 and executive functions from 4 to 
 13 years: Evidence from 
 manipulations of memory, 
 inhibition, and task switching"	2006	"Davidson, M. C., 
 Amso, D., 
 Anderson, L. C., 
 & Diamond, A."	10.1016/j.neuropsychologia.2006.02.006	"For adults and older children (?7 years), stimulus presentation time was 750 ms. For younger children (4–6 years), stimulus presentation time was 2500 ms. In all cases the interstimulus interval was 500 ms, resulting in total trial durations of 1250 and 3000 ms, respectively.
 Picture test (measure of Simon effect): a color picture of either a frog or butterfly was presented on the left or right side of the computer screen, each stimulus had an associated right or left response, stimuli were presented randomly on the left or right of the screen over the block of 20 trials, yielding Congruent (compatible) and Incongruent (incompatible) trials
 Arrow test: a single large arrow was presented at the left or right of the computer screen, congruent:arrow pointed either straight down (toward the response button on the same sideas the arrow), incongruent: arrow pointed toward the opposite side at a 45° angle (toward the response button on the opposite side), Congruent and Incongruent trials were presented in a randomized Mixed block of 20 trials.
 Dot test: a large dot (diameter = 2.5 cm), was presented either at the left or right on each trial, two types of Dots (striped or solid) were used indicating left or right responses. An initial block of 20 Congruent trials (with all responses on the same side as the dot) was followed by a block of 20 Incongruent trials (with all responses on the side opposite the dot), and then by a Mixed block of 20 trials where Congruent and opposite trials were randomly intermixed"	"11 children were excluded from the analyses for failing to press any button or consistently pressing both
 A response time faster than 200 ms was considered anticipatory (too fast to be in response to the stimulus). Those responses were excluded from analyses of accuracy or speed, but were included in analyses of anticipatory responses (ARs)
 The median RT for correct responses only was calculated for each participant. The median value, rather than the mean value, was used to reduce the effect of outlying RTs"	1		No	HL		1			EB		1	
3	"Heilman, K. M., Valenstein, E., & Watson, R. T. (1984, June). 
 Neglect and related disorders. In Seminars in neurology (Vol. 4, No. 02, pp. 209-219). © 1984 by Thieme Medical Publishers, Inc.."		1984					0	No experimental work, describes neglect pathology, doesn't cite original article		HL		0	review paper		EB		0	Review
4	"Crump, M. J., McDonnell, J. V., & Gureckis, T. M. (2013). 
 Evaluating Amazon's Mechanical Turk as a tool for experimental behavioral research. PloS one, 8(3), e57410."	"Evaluating Amazon's Mechanical 
 Turk as a tool for experimental 
 behavioral research"	2013	"Crump, M. J., 
 McDonnell, J. V., 
 & Gureckis, T. M."	10.1371/journal.pone.0057410	"The display consisted of three placeholder squares 150 px on each side, placed on the left, center, and right side of the screen. Placeholders were separated by 170 px. Each placeholder square was a black-filled square with a white border presented on a black background. Target items were red and green squares 100 px per side. Targets could appear in the right or left locations. The response for the red square was the ‘S’ key located on the left side of the keyboard, and the response for the green square was the ‘K’ key located on the right side of the keyboard. There were a total of
 100 trials, with 50% spatially compatible and incompatible trials. On each trial the location of the target and the color was randomly determined, and the random sequence of trials was unique for each participant."	"Correct trials only,
 RTs for each subject in each condition were submitted to an outlier analysis [22], resulted in removal 3% of the data from each condition
 [22] Van Selst M, Jolicoeur P (1994) A solution to the effect of sample size on outlier
 elimination. Q J Exp Psychol 47a: 631–650."	1		No	HL		1			EB		1	
5	"Lu, C. H., & Proctor, R. W. (1995). The influence of irrelevant 
 location information on performance: A review of the Simon and spatial Stroop effects. Psychonomic bulletin & review, 2(2), 174-207."		1995					0	no empirical article, review		HL	"Kornblum, Hasbroucq, & Osman, 1990; 
 visual Simon effect with colour as relevant stimulus: Simon & Craft, 1972; Umiltá & Nicoletti, Umiltá & Nicoletti, 1985
 geometric forms: Nicolleti & Umiltá, 1989, Umiltá & Liotti, 1987
 letters: Proctor & Lu, 1994"	0	review paper		EB		0	Review
6	"Simon, J. R. (1990). The effects of an irrelevant directional
 cue on human information processing. In Advances in psychology (Vol. 65, pp. 31-86). North-Holland."		1990					0	book chapter, no empirical article		HL	No access	0	includes simon but no means and SDs		EB		0	Book chapter without empirical data
7	"Bowers, D., & Heilman, K. M. (1980). Pseudoneglect: Effects 
 of hemispace on a tactile line bisection task. Neuropsychologia, 18(4-5), 491-498."		1980					0	line bisection task		HL		0	but no means or SDs		EB		0	No Simon task
8	"Sebanz, N., Knoblich, G., & Prinz, W. (2003). Representing 
 others' actions: just like one's own?. Cognition, 88(3), B11-B21."		2003			"Participants always responded to one color with a right and to the other with a
 left button press. The irrelevant spatial dimension was provided by a pointing stimulus. In
 the two-choice condition, a single individual took care of both responses. In the joint gonogo
 condition, the task was distributed among two individuals. Each person responded to
 only one of the two colors (see Fig. 1a). In the individual go-nogo condition, the identical
 go-nogo task was performed alone (see Fig. 1b)."	"Error trials
 were excluded from further analyses."	0	Joint Simon task		ME		0	social setting, no means/sd		LD_HP		0	Joint Simon task
9	"Erlhagen, W., & Schöner, G. (2002). Dynamic field theory of 
 movement preparation. Psychological review, 109(3), 545."		2002					0	no empirical RT data for Simon effect		HL		0	review article		EB		0	Review
10	"Wallace, R. J. (1971). SR compatibility and the idea of a response 
 code. Journal of experimental psychology, 88(3), 354."		1971					1	"only left-right position of figure &
hands uncrossed"		HL		1	no means to work with		EB		1	
